"Index";"Var";"TubNo";"Trait";"Value";"Variable"
"BI";"A104";1;"Mean_i";39,8152781177819;"BI_Mean_i"
"BI";"A104";1;"Mean_f";72,9582279589991;"BI_Mean_f"
"BI";"A104";1;"SD_i";23,9331870671822;"BI_SD_i"
"BI";"A104";1;"SD_f";29,2608181165726;"BI_SD_f"
"BI";"A104";1;"Diff";33,1429498412172;"BI_Diff"
"BI";"A104";1;"Slope";0,0328452355086404;"BI_Slope"
"BI";"A104";2;"Mean_i";36,0276068429566;"BI_Mean_i"
"BI";"A104";2;"Mean_f";44,9347819546872;"BI_Mean_f"
"BI";"A104";2;"SD_i";15,3461491914503;"BI_SD_i"
"BI";"A104";2;"SD_f";17,9914913188131;"BI_SD_f"
"BI";"A104";2;"Diff";8,90717511173062;"BI_Diff"
"BI";"A104";2;"Slope";0,00994688602880101;"BI_Slope"
"BI";"A104";3;"Mean_i";36,2921950314891;"BI_Mean_i"
"BI";"A104";3;"Mean_f";51,2447775368809;"BI_Mean_f"
"BI";"A104";3;"SD_i";17,7548317152094;"BI_SD_i"
"BI";"A104";3;"SD_f";19,750421680774;"BI_SD_f"
"BI";"A104";3;"Diff";14,9525825053917;"BI_Diff"
"BI";"A104";3;"Slope";0,0160446856530156;"BI_Slope"
"BI";"A117";1;"Mean_i";29,0882896154274;"BI_Mean_i"
"BI";"A117";1;"Mean_f";25,3160149090496;"BI_Mean_f"
"BI";"A117";1;"SD_i";25,967895136761;"BI_SD_i"
"BI";"A117";1;"SD_f";24,4109851233271;"BI_SD_f"
"BI";"A117";1;"Diff";-3,77227470637786;"BI_Diff"
"BI";"A117";1;"Slope";-0,00100947190050906;"BI_Slope"
"BI";"A117";2;"Mean_i";26,750382469495;"BI_Mean_i"
"BI";"A117";2;"Mean_f";22,329123459952;"BI_Mean_f"
"BI";"A117";2;"SD_i";19,5325187938242;"BI_SD_i"
"BI";"A117";2;"SD_f";19,1691530648341;"BI_SD_f"
"BI";"A117";2;"Diff";-4,42125900954305;"BI_Diff"
"BI";"A117";2;"Slope";-0,00132970048761923;"BI_Slope"
"BI";"A117";3;"Mean_i";21,5714189601964;"BI_Mean_i"
"BI";"A117";3;"Mean_f";16,2677949209492;"BI_Mean_f"
"BI";"A117";3;"SD_i";15,0612135410296;"BI_SD_i"
"BI";"A117";3;"SD_f";14,3408299890837;"BI_SD_f"
"BI";"A117";3;"Diff";-5,30362403924726;"BI_Diff"
"BI";"A117";3;"Slope";-0,00228995113173063;"BI_Slope"
"BI";"A14";1;"Mean_i";29,5806096536993;"BI_Mean_i"
"BI";"A14";1;"Mean_f";51,7808888702098;"BI_Mean_f"
"BI";"A14";1;"SD_i";10,067009830175;"BI_SD_i"
"BI";"A14";1;"SD_f";16,3192115105823;"BI_SD_f"
"BI";"A14";1;"Diff";22,2002792165105;"BI_Diff"
"BI";"A14";1;"Slope";0,0306613287027254;"BI_Slope"
"BI";"A14";2;"Mean_i";29,8667821406482;"BI_Mean_i"
"BI";"A14";2;"Mean_f";53,5429834674416;"BI_Mean_f"
"BI";"A14";2;"SD_i";16,7054703109762;"BI_SD_i"
"BI";"A14";2;"SD_f";24,7589066724168;"BI_SD_f"
"BI";"A14";2;"Diff";23,6762013267934;"BI_Diff"
"BI";"A14";2;"Slope";0,0318508780080676;"BI_Slope"
"BI";"A14";3;"Mean_i";34,9948900718951;"BI_Mean_i"
"BI";"A14";3;"Mean_f";61,2131505534691;"BI_Mean_f"
"BI";"A14";3;"SD_i";17,4143886636433;"BI_SD_i"
"BI";"A14";3;"SD_f";21,3370609497385;"BI_SD_f"
"BI";"A14";3;"Diff";26,218260481574;"BI_Diff"
"BI";"A14";3;"Slope";0,0348006435654303;"BI_Slope"
"BI";"A24";1;"Mean_i";32,0878560645579;"BI_Mean_i"
"BI";"A24";1;"Mean_f";40,0787654967753;"BI_Mean_f"
"BI";"A24";1;"SD_i";12,6080048706011;"BI_SD_i"
"BI";"A24";1;"SD_f";20,2722515378523;"BI_SD_f"
"BI";"A24";1;"Diff";7,99090943221735;"BI_Diff"
"BI";"A24";1;"Slope";0,00938311289944353;"BI_Slope"
"BI";"A24";2;"Mean_i";24,580708582032;"BI_Mean_i"
"BI";"A24";2;"Mean_f";29,250903862585;"BI_Mean_f"
"BI";"A24";2;"SD_i";10,1546085508426;"BI_SD_i"
"BI";"A24";2;"SD_f";12,8660519323453;"BI_SD_f"
"BI";"A24";2;"Diff";4,670195280553;"BI_Diff"
"BI";"A24";2;"Slope";0,00587633205406131;"BI_Slope"
"BI";"A24";3;"Mean_i";57,2277715527138;"BI_Mean_i"
"BI";"A24";3;"Mean_f";64,4946287459745;"BI_Mean_f"
"BI";"A24";3;"SD_i";30,0751008155748;"BI_SD_i"
"BI";"A24";3;"SD_f";30,8029626424911;"BI_SD_f"
"BI";"A24";3;"Diff";7,26685719326069;"BI_Diff"
"BI";"A24";3;"Slope";0,00914894982960689;"BI_Slope"
"Hue";"A104";1;"Mean_i";31,5951023210053;"Hue_Mean_i"
"Hue";"A104";1;"Mean_f";58,9170818060499;"Hue_Mean_f"
"Hue";"A104";1;"SD_i";24,3942229209368;"Hue_SD_i"
"Hue";"A104";1;"SD_f";7,05640145321196;"Hue_SD_f"
"Hue";"A104";1;"Diff";27,3219794850446;"Hue_Diff"
"Hue";"A104";1;"Slope";0,0248017011082372;"Hue_Slope"
"Hue";"A104";2;"Mean_i";41,9386560769739;"Hue_Mean_i"
"Hue";"A104";2;"Mean_f";59,3868734165372;"Hue_Mean_f"
"Hue";"A104";2;"SD_i";21,0930670957039;"Hue_SD_i"
"Hue";"A104";2;"SD_f";20,0223714133017;"Hue_SD_f"
"Hue";"A104";2;"Diff";17,4482173395632;"Hue_Diff"
"Hue";"A104";2;"Slope";0,017994916411603;"Hue_Slope"
"Hue";"A104";3;"Mean_i";31,3954048382033;"Hue_Mean_i"
"Hue";"A104";3;"Mean_f";53,5977493937573;"Hue_Mean_f"
"Hue";"A104";3;"SD_i";18,0777139364156;"Hue_SD_i"
"Hue";"A104";3;"SD_f";12,9145227433457;"Hue_SD_f"
"Hue";"A104";3;"Diff";22,2023445555541;"Hue_Diff"
"Hue";"A104";3;"Slope";0,022105441744791;"Hue_Slope"
"Hue";"A117";1;"Mean_i";12,6688576487409;"Hue_Mean_i"
"Hue";"A117";1;"Mean_f";7,9284053160295;"Hue_Mean_f"
"Hue";"A117";1;"SD_i";27,4327970598982;"Hue_SD_i"
"Hue";"A117";1;"SD_f";30,4984840338037;"Hue_SD_f"
"Hue";"A117";1;"Diff";-4,74045233271136;"Hue_Diff"
"Hue";"A117";1;"Slope";0,00089258548581358;"Hue_Slope"
"Hue";"A117";2;"Mean_i";13,8708190409492;"Hue_Mean_i"
"Hue";"A117";2;"Mean_f";7,19484997299831;"Hue_Mean_f"
"Hue";"A117";2;"SD_i";24,1567703644594;"Hue_SD_i"
"Hue";"A117";2;"SD_f";27,4658574697752;"Hue_SD_f"
"Hue";"A117";2;"Diff";-6,67596906795086;"Hue_Diff"
"Hue";"A117";2;"Slope";-0,000332475344910288;"Hue_Slope"
"Hue";"A117";3;"Mean_i";7,96878554870964;"Hue_Mean_i"
"Hue";"A117";3;"Mean_f";-1,38912188581515;"Hue_Mean_f"
"Hue";"A117";3;"SD_i";20,5757995388247;"Hue_SD_i"
"Hue";"A117";3;"SD_f";22,9001711429952;"Hue_SD_f"
"Hue";"A117";3;"Diff";-9,3579074345248;"Hue_Diff"
"Hue";"A117";3;"Slope";-0,00221912292364655;"Hue_Slope"
"Hue";"A14";1;"Mean_i";31,3120430468676;"Hue_Mean_i"
"Hue";"A14";1;"Mean_f";24,8274094605986;"Hue_Mean_f"
"Hue";"A14";1;"SD_i";7,56331284289903;"Hue_SD_i"
