"Index";"Var";"TubNo";"Time";"Mean";"SD"
"BI";"A104";1;0;39,8152781177819;23,9331870671822
"BI";"A104";1;60;47,3525933693152;25,7542387324401
"BI";"A104";1;120;51,0478992522123;26,7261807812321
"BI";"A104";1;180;57,0791854635579;27,4339567687087
"BI";"A104";1;240;57,3561111085857;27,5407376220056
"BI";"A104";1;300;61,8003801946341;28,1874138361059
"BI";"A104";1;360;63,8439943746476;28,3899038354178
"BI";"A104";1;420;66,6631211952343;28,6523308528928
"BI";"A104";1;480;67,3235960782219;28,7816229061375
"BI";"A104";1;540;68,4706011031068;29,1189315798081
"BI";"A104";1;600;72,5123894729824;29,2407141790117
"BI";"A104";1;660;70,0629421534413;28,8975970964586
"BI";"A104";1;720;72,5192956648988;29,123934862487
"BI";"A104";1;780;72,1664704127978;29,4404323849978
"BI";"A104";1;840;70,1031329732165;29,1423905272731
"BI";"A104";1;870;72,9582279589991;29,2608181165726
"BI";"A104";2;0;36,0276068429566;15,3461491914503
"BI";"A104";2;60;37,2586804594679;15,8647533512569
"BI";"A104";2;120;37,3101713396323;16,3381087730148
"BI";"A104";2;180;40,9649214915659;16,628797787347
"BI";"A104";2;240;39,3715343702375;16,7089097783515
"BI";"A104";2;300;41,5345656765193;16,7101227604873
"BI";"A104";2;360;42,2075593076168;17,1424402413801
"BI";"A104";2;420;43,6226873340275;17,1564736685045
"BI";"A104";2;480;43,4420989194334;17,1420085768992
"BI";"A104";2;540;43,7146213595272;17,4293564432651
"BI";"A104";2;600;46,9613437105189;17,7983422748185
"BI";"A104";2;660;44,3107800171845;17,5263878842955
"BI";"A104";2;720;46,1788987499861;17,8586289638913
"BI";"A104";2;780;45,0708982775859;17,7258457040466
"BI";"A104";2;840;42,4842537052105;17,6003918055021
"BI";"A104";2;870;44,9347819546872;17,9914913188131
"BI";"A104";3;0;36,2921950314891;17,7548317152094
"BI";"A104";3;60;38,9828403044328;18,0907534801063
"BI";"A104";3;120;39,5579037318729;18,2868242847349
"BI";"A104";3;180;44,2636926191879;18,7422762561141
"BI";"A104";3;240;42,9478187357475;18,3002927208047
"BI";"A104";3;300;45,5379666524238;18,6932941887707
"BI";"A104";3;360;46,8228019270576;18,7518923696777
"BI";"A104";3;420;48,7543106778957;18,953173372029
"BI";"A104";3;480;48,6495024041935;19,192145766537
"BI";"A104";3;540;49,2614280464863;19,0395712914588
"BI";"A104";3;600;52,6154256819796;19,6586843541954
"BI";"A104";3;660;50,4010247325596;19,7057753026677
"BI";"A104";3;720;52,5020305521538;19,7728660284484
"BI";"A104";3;780;50,8226761199008;19,0239705371146
"BI";"A104";3;840;48,8323681305844;19,3625361569115
"BI";"A104";3;870;51,2447775368809;19,750421680774
"BI";"A117";1;0;29,0882896154274;25,967895136761
"BI";"A117";1;60;27,8257858167294;25,7863520335153
"BI";"A117";1;120;27,3829816481319;25,6390499295724
"BI";"A117";1;180;29,5514217383009;25,9232077488195
"BI";"A117";1;240;30,0441383027803;25,8720739311291
"BI";"A117";1;300;30,2754517259056;25,8759403010392
"BI";"A117";1;360;28,3506184521383;25,5980640222827
"BI";"A117";1;420;30,6643122885683;25,6812855396925
"BI";"A117";1;480;30,2049389431378;25,6272882209133
"BI";"A117";1;540;28,6707039104499;25,2014677061023
"BI";"A117";1;600;29,4020102117342;25,3148145768608
"BI";"A117";1;660;27,7492882812027;24,9965392372792
"BI";"A117";1;720;26,7303109701239;24,7870795726543
"BI";"A117";1;780;30,6817113537835;25,2074304923449
"BI";"A117";1;840;29,5017915485582;24,9535015554127
"BI";"A117";1;870;25,3160149090496;24,4109851233271
"BI";"A117";2;0;26,750382469495;19,5325187938242
"BI";"A117";2;60;24,6686071019384;19,220799608065
"BI";"A117";2;120;24,4975148195519;19,4337276753237
"BI";"A117";2;180;26,4626538993913;19,5107990734208
"BI";"A117";2;240;26,8397052059064;19,531025631646
"BI";"A117";2;300;27,0038523126644;19,6935298329558
"BI";"A117";2;360;25,3240635206753;19,5126407384146
"BI";"A117";2;420;27,4833109997246;19,6024681084367
"BI";"A117";2;480;27,0505097634201;19,6109871100328
"BI";"A117";2;540;25,5047636465663;19,3675886672417
"BI";"A117";2;600;26,3700476862239;19,4240980511808
"BI";"A117";2;660;24,6147220674738;19,2552076325222
"BI";"A117";2;720;23,622289000978;19,1919615742595
"BI";"A117";2;780;27,4695523861999;19,6916497661261
"BI";"A117";2;840;26,3064870286905;19,469116537024
"BI";"A117";2;870;22,329123459952;19,1691530648341
"BI";"A117";3;0;21,5714189601964;15,0612135410296
"BI";"A117";3;60;19,2500375115749;15,2556871480409
"BI";"A117";3;120;19,1336649007525;15,3576143802327
"BI";"A117";3;180;20,8218662634107;15,3546717805942
"BI";"A117";3;240;20,9800707569778;15,381808581071
"BI";"A117";3;300;21,2343176918349;15,290563944505
"BI";"A117";3;360;19,6709298801416;15,1624962949179
"BI";"A117";3;420;21,6936293705495;15,1886248085739
"BI";"A117";3;480;21,1632516318648;15,2063717760213
"BI";"A117";3;540;19,6910899803189;14,9204059767221
"BI";"A117";3;600;20,4609550715325;15,101392455789
"BI";"A117";3;660;18,5238445393556;14,7346338083503
"BI";"A117";3;720;17,6547402368251;14,6133097597642
"BI";"A117";3;780;21,3316625408203;14,8465608294627
"BI";"A117";3;840;20,0405789664288;14,6787139020359
"BI";"A117";3;870;16,2677949209492;14,3408299890837
"BI";"A14";1;0;29,5806096536993;10,067009830175
"BI";"A14";1;60;29,6982910138823;11,2730998816662
"BI";"A14";1;120;30,0926269712945;11,908288930196
"BI";"A14";1;180;30,5588424867241;12,6543544273366
"BI";"A14";1;240;31,0559363068183;13,0557108872547
"BI";"A14";1;300;34,620031431218;13,5493240030756
"BI";"A14";1;360;31,8994607379493;13,5992380889365
"BI";"A14";1;420;31,8011215651393;13,9132433681709
"BI";"A14";1;480;28,491373793129;13,7395533244405
"BI";"A14";1;540;32,3542031920789;14,2710025299326
"BI";"A14";1;600;58,3887661775839;16,1516459860158
"BI";"A14";1;660;35,7659299265189;14,9899883493361
